place,categories,user code,title,review,rating,date
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",Daniel F,Nice 1/2 Day Trip,Friends came for visit and decided to go to Deering Estate. Was let down as I wanted to impress my friends. It is historical and needs preserving but is over rated. Wished there was more historical info in guide pamphlet. It is a nice diversion from other sites but will avoid going back.,30,July 2019
Calle Ocho,"Neighborhoods, Points of Interest & Landmarks",Alice B,Cute place!,"Calle Ocho is definitely worth a visit! Lots of bars and restaurants playing Cuban music, men playing dominoes, it’s very Cuba and lots of fun!",40,November 2019
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",SteveGoldgap,Overdecorated skyscraper,"For sure the tower is a landmark wirh a strong history but technically and from an architectural perspective it is simply an overdecorated, historistic skyscraper from a time where Chicago showed how to build these. ",30,January 2019
Tropical Park,"Jogging Paths & Tracks, Parks",carlosyfaby,Good on a sunny day.,A professionally managed batting cages business ia a.good proyect to bring in baseball fans and players to the park.  Come and enjoy.,50,August 2018
Tropical Park,"Jogging Paths & Tracks, Parks",L8604CFdanielar,Santa's isn't the only attraction here.,"Right off the Palmetto, at the entrance of Westchester, lies Tropical Park. It has a bit of everything and really comes in clutch for those who love to exercise outside and for free! The parking here is free and there are plenty of different spots in the park where you could workout with friends or host a BBQ or a birthday party. My childhood was filled with some dope outdoor birthday parties at Tropical Park. They have the huts you can use with a charcoal grill and picnic tables...just beware of raccoons. There truly so much you can do here and I suggest entering a different way each time, whether through the main entrance on Bird Road or on Miller or any side streets that lead into the park. It will always give you a new perspective.",40,August 2018
Monkey Jungle,"Nature & Wildlife Areas, Zoos",PelleasPhiladelphia,Worth the money and the drive,"The hotel concierge tried to talk me out of making this drive (from downtown Miami) saying that it was a long drive and that the Monkey Jungle was small and not worth the trip. I’m very glad that I chose to ignore him! I went to the park with my 4-year old daughter and my parents and we all loved it. The park was the perfect size for all of us to walk around and see everything, and my daughter was beyond thrilled to have such close contact with the monkeys. We didn’t buy the most expensive ticket, but it wasn’t necessary. We felt like we had excellent viewing of all the animals. I highly recommend this unique park. ",50,June 2019
Hard Rock Stadium,Arenas & Stadiums,stevepwwii,Impressive,FUN,50,September 2019
Mall of the Americas,Shopping Malls,LAURA C,Decadent,"Inside many empty spaces and very economic shops. The smell of food hall is inside the whole mall, very low air conditioning. Toilets out of order.",20,June 2018
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",245marshallp,Graffiti everywhere,"The art is everywhere featuring someone of the biggest names in commercial graffiti. Their are galleries, sculptures, and mural enough place for photos or amazing people of any age.",50,March 2020
Tropical Park,"Jogging Paths & Tracks, Parks",davidbet32,Nice Park,They keep the park in good shape most of the time. There is a guy that rents pedal boats for $15 per hour. It is worth the shot!,50,August 2018
Tropical Park,"Jogging Paths & Tracks, Parks",expeditionkitty,Great for Workout & Parties,"Plenty of parking, clean and it not so big but I do love all the nature, lake and roof areas it has. There's also a center where they do activities and classes if you sign up.",50,April 2018
Monkey Jungle,"Nature & Wildlife Areas, Zoos",CiaoMille,A must visit for any monkey lover!,"Hours after visiting, we are still debating what spider monkeys favorite food is. Is it the dried Papaya or apple? It's papaya. I was a gymnast for fifteen years and the gibbons have better moves than anything I ever competed. Mad respect.",50,May 2019
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",classact007B,Miami History And Music Venue,Don't miss going through the house.,40,March 2019
Hard Rock Stadium,Arenas & Stadiums,thewanderingmeatball,The Good and The Bad,Overall it was a decent experience but they could make some improvements.,30,November 2019
Lock & Load Museum,Specialty Museums,757harrietw,Bachelorette,Had an amazing time at lock and load! The experience was one of a kind would recommend to everyone! We also had the best instructor Max who made the experience even more fun.,50,February 2020
Wynwood Walls,"Points of Interest & Landmarks, Art Museums",PSthisRocks,Wynwood Is Over Commercialized,None of the walls in my photos or on my blog P.S. This Rocks exist today  Search “Wynwood” on my blog to see lots of amazing photos of Wynwood Walls then and now.,20,December 2019
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",kristopherpatrick4,Walking in history,"When you walk in here you can just feel the history, it also is pretty cool that the AA arena is right there!",40,August 2017
Jungle Island,"Nature & Wildlife Areas, Zoos",jonnah273,Beautifull lights ,We started our New Year's eve there and were mesmorised by the lanterns. Absolutely beautifull. Tasty mojitos also! ,50,December 2019
Monkey Jungle,"Nature & Wildlife Areas, Zoos",Ronaldo M,The monkeys were so cute!!,"We LOVE monkeys, so we had to do the rainforest tour and was totally worth it! They were adorable and were hilarious to watch. It was a nice intimate tour with a few people in the group and had plenty of food to feed the monkeys. Some of the monkeys were very selective on what they like to eat. At the end of the tour, there was one monkey, George, who kept following us around. He loves his papaya. We miss them already and will come back if we are in the area.",50,April 2019
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",abigfish,Interesting !,"Very similar to Vizcaya, maybe not architecturally, but the vibe is the same, the histories are very linked. It's also said to be like really really haunted, if you're into that. ",30,March 2019
Mall of the Americas,Shopping Malls,MrWarrenM,Time has not been kind to the Mall of the Americas,Time has not been kind to the Mall of the Americas in Miami.  Most of the stores have closed and moved elsewhere or just gone out of business.,20,May 2017
Mall of the Americas,Shopping Malls,sven-thomas-t,Not great for shopping ,Miami has a lot better malls than this one. Mostly low quality shops. Costco just moved here which is the only highlight I can think off. ,10,May 2017
Lock & Load Museum,Specialty Museums,majumdar_anindya,Amazing Awesome Experience,Our instructor Fabian was a thorough profesional yet friendly guy who gave us a great prep before the shooting. The guns / shooting kit / the place everything was clean and well maintained. And you get to keep the targets you shoot at if you want to. Overall 5* experience. A must if you like guns.,50,February 2020
Lock & Load Museum,Specialty Museums,jennymP1061ZE,Adrenaline fueled thrill ,Highly recommend to do this especially the 50 cal and Brain is the man!!! Ticked off the bucket list and will never forget this experience.,50,February 2020
Lock & Load Museum,Specialty Museums,Jefersondz,Great time.  I’ll return ,Lot of adrenaline with machine guns on auto ,50,February 2020
Tropical Park,"Jogging Paths & Tracks, Parks",Canesbiggdogg,Lots to do,We went here for my daughters cross country meet. They run over the big mountain and around a course. When she was done they wanted to play in the park and get some drinks from vendors that are there. Its a nice place to spend the afternoon.,40,August 2017
Jungle Island,"Nature & Wildlife Areas, Zoos",Cruiser643306,Meet the Lemurs,We had so much fun and meeting the Leemurs was incredible! The parrots were adorable and had us all obsessed. The staff was so fun and patient and kind . Was fantastic overall. Slightly pricey but def was a great experience ,50,December 2019
Monkey Jungle,"Nature & Wildlife Areas, Zoos",Rinze P,Nice wildpark for a day out,"Despite the showery day we had a fun time at the Wildpark Monkey Jungle. Monkeys enjoy a lot of freedom, where the visitors are the one that are actually caged. Feeding the monkeys using the chained bowls and the plastic tubes added some extra fun. The animals seem to be happy in their jungle-like environment and are fed regularly. At feeding time the rangers are prepared to answer any question and show passion for their job. We really enjoyed the four hours we spend at the park.",40,August 2018
Hard Rock Stadium,Arenas & Stadiums,WhiteLightinX,One of best stadiums I've been to,"We went to the Dolphins vs Chargers game (Dolphins lost) When we arrived the car park as shown in the picture was full of pickup trucks and people had set up gazebos. It looked like a car boot sale with food and drink. A local fan explained this was the ""Tail Gate Party"" they arrived at family atmosphere, kids played games and everyone was friendly. The stadium was one of the best I have ever been to. Plenty of toilets no queues. Loads of food outlets, helpful staff. It is not a cheap day, tickets cost $50 dollars in the ""Gods"" to $500 plus. As the stadium is hosting the SuperBowl next year tickets will be between $5,000 50 over $20,000. Thoroughly enjoyed it.",50,September 2019
Mall of the Americas,Shopping Malls,mdpounder,Small Mall,"Mall is small and not too busy.It has my favorite stores, Ross and Marshalls. There is also an Old Navy and a couple of shoe stores. Costco coming soon",30,September 2016
Mall of the Americas,Shopping Malls,GMSRizzi,Too small. Too bad. Almost closed,Few stores.,10,January 2017
Lock & Load Museum,Specialty Museums,Chloe L,Great experience at Lock & Load,Highly recommend whether you’re a beginner like me or more experienced. Beautiful facility too.,50,February 2020
Lock & Load Museum,Specialty Museums,real_pope_machine,Lock & Load is a BLAST,"Had an amazing time. Learned quite a bit too thanks to our host, Brian. Very knowledgeable, highly professional and FUN.",50,February 2020
Lock & Load Museum,Specialty Museums,SteinunnL1,Great Experience,"The museum is impressive. They offer multiple shooting experience packages. I went with the ""Israel"" Package which includes 4 different weapons. Our instructor, Fabian, was amazing. He was nice and helpful. He gave us a brief history of the weapons we were shooting, that was really interesting. Thank you so much.",50,February 2020
Briar Bay Park,Parks,mwooduk,Stroll before Publix,"Got in 1,000 Fitbit Steps before going to Publix to go grocery shopping.  Grass needs mowing but hopefully the county will catch up soon!",30,August 2017
Jungle Island,"Nature & Wildlife Areas, Zoos",angl1728,Family affair,Excellent place to hang out with family and children friendly. There’s something for everyone. Luminosa was spectacular to go to. Highly recommend it. ,50,December 2019
Hard Rock Stadium,Arenas & Stadiums,beachtobar,Miami Dolphins,as there is literally NO public transport here we took taxis which worked out at £45 versus the Uber we used to get there which was half the price,50,September 2019
Mall of the Americas,Shopping Malls,JOSEPH W,Sporting goods shopping,"The outside of mall is outdated. The interior is clean but not a lot of stores to shop at. There is a Cosco's opening real soon. This will bring a lot of customers, so hopefully more stores will start to come back and bring the mall back to a decent place to shop again.",50,August 2016
Mall of the Americas,Shopping Malls,Sherene B,Great Shopping Here..,I enjoyed shopping here at this Mall.. I never knew about it.. Thanks to one of Uber drivers who told me about it.. I was unable to find a school bag for my neice in any other stores and she recommended that I check in this mall. I found it in a children store in this Mall.. A nice place to shop.,50,September 2016
Mall of the Americas,Shopping Malls,TomRIUSA,The place that shoppers have forgot!i,They did have a Dollar store there.  Items were in increments of a $1 $2 $3 etc.   We found Cheese its that were out of date 3 months prior.  Same with a number of other food items there.,10,September 2016
Lock & Load Museum,Specialty Museums,126alenl,Fabulous Experience,"It is quite a unique way to spend some time with the family. I went with my dad and he did so much better that I did anyways. Our instructor was Fabian, an extremely skillful and knowledgeable trainer, working there for 4 years- Marines veteran, as far as I remember. He explained us the workings of each weapon we used, a little history behind them as well. Would recommend 100%;)",50,January 2020
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",BigoBoca,Landmark,This building holds a special place in the hearts of Cuban Americans. It was one of the first structures that they saw when arriving by boat fro their homeland. ,30,September 2017
Hard Rock Stadium,Arenas & Stadiums,Sarah D,"Nice Stadium, roomy and lots of food options!","Awesome stadium, great food, parking is a nightmere though only downside... :(....review is only of an NFL game as well...",40,September 2019
Mall of the Americas,Shopping Malls,724ulrikef,Disappointed ,"If you know what you're getting yourself into, the place is fine  - just not when you're expecting a wider variety of stored including department stores and such",20,March 2016
Mall of the Americas,Shopping Malls,WinnipegDonna,older dumpy mall,"wouldn't even use the bathroom here as it was filthy, and falling apart .mostly Spanish everything here , couldn't even buy an english newspaper",10,February 2016
Mall of the Americas,Shopping Malls,Itsprepp,Ehh,Not enough stores here but the food here is good and quick. They have nothing but shoe stores and electronic stores here.,20,April 2016
Mall of the Americas,Shopping Malls,Keith L,Ghetto,We had a few hours before our flight back to Salt Lake City so we thought we would go shopping. They should change the malls name to ghetto shoes America. That was the majority of the stores. They had a Dollar store in the mall if that tells u anything. It's a Waste of time and very dirty.,10,June 2016
Lock & Load Museum,Specialty Museums,SatisfiedHuntingdon,Could not have been better,"""We'll be back""",50,January 2020
Greater Miami Symphonic Band,Symphonies,Katrin S,Greta musical performances by a community symphonic band!,"GMSB members are adults who volunteer their time and talents to the Band.  The purpose is to provide the Miami area with a first-class musical aggregation and to provide opportunity for musical expression in an organized concert band.  The Band performs publicly on a regular basis at various indoor and outdoor locations, giving the residents of the area an opportunity to hear the beauty and diversity of the symphonic band repertoire."" (quoting their Website)",50,June 2013
Sound Balance,Airport Shops,Iska1,Provider of T-Mobile SIM for Visitors,"Don’t be tempted to buy at CHANGE shops there, as they will offer you a SIM from an unknown provider at a double price and more...",50,October 2018
The Pillar of History,"Monuments & Statues, Points of Interest & Landmarks",Reasonable50,Impressive artwork by Cuban Artist on Brickell Avenue Bridge ,"Great 53 foot column artwork on the Bridge that many pass without even looking. It was installed in 1995. The artist,  Manuel Carbonell, was a noted Cuban born artist and died in Miami at age 93. The column depicts natural and cultural scenes that were derived from Carbonell's understanding of native Tequesta Indians. Slow down and take a look next time you are there.",50,November 2017
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",Spencer M,Cuban History,This is a place for nostalgia for most older Cubans in Miami.   This is the Ellis Island for Cubans migrating to the USA.   It is beautiful building that is generally not open to the public that I know about.  It is open for special events.  Its across from Bayside or the American Airlines Arena in downtown Miami.  It is a remarkable and memorable landmark. ,50,August 2016
Monkey Jungle,"Nature & Wildlife Areas, Zoos",123private321,No,"That's it. Dirty, hot, stunk, overpriced. Dress for a tropical jungle, insects and all. Tourist trap.",10,September 2018
Mall of the Americas,Shopping Malls,chadej,Calling this a mall is a stretch.,We walked to this mall in anticipation of a full-on mall experience.  It was a disappointment to say the least.  It's clearly what malls use to be versus what malls today should be.  You won't find any sit in restaurant options here either.  Better to go to another mall than waste your time here. ,20,March 2016
Mall of the Americas,Shopping Malls,racerx3,Good Size Mall,This a good sized Mall with plenty of good shops. Very nice selection of restaurants as well. Plenty of parking. Always busy.,30,June 2015
Lock & Load Museum,Specialty Museums,197jakobs,Great experience,And really nothing compares to firing a rifle on automatic and spring lead.,50,January 2020
Lock & Load Museum,Specialty Museums,tracey_brent,Husband in his element!!!,"My Husband (Brent) & I visited Lock & Load, Miami on the last day of our holiday. Brent wanted to shoot but I was just a guest & it was brilliant! Brent chose a machine gun package plus a Glock add on. Fabian was Brent's instructor & he was amazing, very informative, knowledgeable & reassuring, thank you Fabian for making our last day here one Brent nor I will forget! We would both highly recommend Lock & Load for anyone looking for a shooting experience where you will gain knowledge along with fun!!!",50,January 2020
Lock & Load Museum,Specialty Museums,Chylt914,Great!!!,Great staff and experience. We went there and Everything was easy and we had a great time. Brian was very helpful,50,January 2020
Lock & Load Museum,Specialty Museums,brian g,Automatic weapon package,"The instructor (Will),.was professional and experienced.",50,January 2020
Monkey Jungle,"Nature & Wildlife Areas, Zoos",Walmart955,Feeding monkeys,This place is a great to spend a few hours there.  The monkeys are so smart. They have bowls that you put the food in and they will pull the chains up to get the food.  They are in the open and you are in a cage tunnel.,50,December 2018
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",Annette T,Beauty of nature close to the concrete jungle. ,If you have been to Viscaya make sure to visit to see a quiet piece of paradise.  While standing near the harbor there is only a view of green and no concrete or condos in view. ,50,September 2018
Hard Rock Stadium,Arenas & Stadiums,natewb17,"Amazing Miami open grounds, maybe good for football ","Even though the primary event/events at Hard Rock are football games for the Miami Dolphins, the tennis tournament “The Miami Open” was GREAT!! The facilities were nice and you could get semi-close to the players. Only complaint is that there were few places for food so lines EXTREMELY long, but for a first year of a tournament and for a tennis tournament in general — great job! ",50,March 2019
Mall of the Americas,Shopping Malls,RollTide315,Not a bad shopping experience--but average,"If you want to know more about the mall and it's stores & restaurants, you can check-out their website http://malloftheamericas.com/.",30,July 2015
Duty Free Americas,Airport Shops,MiltonKanno,Ok,"Not much. It didnt have many promotions or special offers like I ve seen in Toronto or São Paulo. It just have usual brands for fragrances, cosmetics and wearing. Even Technologies that take place in stores like this were not available in abundance. Regular price nothing special.",30,September 2018
Flagler Grove Park,"Playgrounds, Parks",MrMiamiExplorer,OK Park,"Flagler Grove Park is one of the newer parks in Dade County. Not an overly impressive park, but every park is important for the local community. There is a medium sized field that can be used for soccer or other recreational activities, and a small covered playground. I didn't sight any wildlife, but the weather was bad the day we visited and it began to pour hard. It is conveniently located close to US1 and within walking distance of residential neighborhoods.",30,August 2015
Mall of the Americas,Shopping Malls,Joanna R,Very Disappointed,"Not what I expected. It is very gloomy and only have a couple stores inside. It seems from the inside that it is closing soon. There are many shops that are empty and alone. very disappointed. On the good side, there is a lady that sells fresh fruit smoothies. They are delicious! Must try. ",20,August 2015
Lock & Load Museum,Specialty Museums,SofiaTurzik,Sofia,It was really fun and our staff Max was very good! I would definetely recommend it and I would go back ,50,December 2019
Lock & Load Museum,Specialty Museums,K-Alf25,Best time ever!!!,"Amazing experience!!! Best moment ever!! If you want to have a good time with high caliber weapons, visit Lock & Load.  I recommend it!!  The experts who work there are great, ask for Fabian, he is the best!",50,December 2019
Lock & Load Museum,Specialty Museums,nicgys,Machine Gun Experience,Had a great experience shooting different guns. Our guide Max was very friendly and super supportive! Would definitely do it again!,50,December 2019
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",363felipef,Closed for renovation,The museum was closed but the external architecture is very nice. It is near the American Airlines Arena.,30,April 2017
Monkey Jungle,"Nature & Wildlife Areas, Zoos",GoodBadNotEvil,"Embarrassingly poor, beware of way overpriced attraction","The entrance fee is a rip off, they had our money before we found out how bad the place is. Save your money.",10,September 2018
Mall of the Americas,Shopping Malls,MrMiamiExplorer,Small but Average Mall,"Mall of the Americas is located right off the 826. It is part of an odd cluster of malls, all just off Flagler Street. This area should be known as The Mall District. There is no other street in Miami or even Dade County with so many malls so close to each other. Of the Other 2: Dolphin Mall and Miami International Mall, Mall of the Americas is the smallest. If you want to attend a mall with less teenagers and crowds, many have abandoned this mall in favor of the newer and larger Dolphin Mall.",30,November 2014
Mall of the Americas,Shopping Malls,Roy_Arcon,A mall is a mall,Worth a visit for retail therapy.,30,November 2014
Mall of the Americas,Shopping Malls,IHG_Fan,Good Shop,This location is contemporary and has some of the higher end stores that appeal to me.  I did not walk the entire concourse but I liked what I saw.,40,April 2015
Mall of the Americas,Shopping Malls,Tammy A,Good experience,"There are a lot of empty areas in this mall, but the several stores that are open are wonderful. TigerDirect is great. This is the only retail store in the state. ",40,June 2015
Mall of the Americas,Shopping Malls,Melanie1442,"Sucks 
Balls",Sucks so bad. It's humiliating just walking there. It's the worst. From of scale of 1-1 I give it a -100,10,June 2015
Hard Rock Stadium,Arenas & Stadiums,Robert D,Very easy in and out stadium,"Still an easy stadiu, to get in and out of and the stadium may be a bit dated but it is fun to see sports the old fashion opened air expereince. ",50,November 2018
Lock & Load Museum,Specialty Museums,Wilbur1983,Bachelor Party,"Went on my Stag Do (or Bachelor Party) in October and this was the last activity we did and also the best!! Had Nick as an instructor who was incredibly knowledgeable, informative, funny, interesting and put up with us even though we were far from at our best that day! Can’t wait to go back",50,October 2019
Lock & Load Museum,Specialty Museums,37adama,Artjom,"Done a machine gun package, very cool! Brian was awesome, very helpful and professional. Highly recommend!",50,December 2019
Lock & Load Museum,Specialty Museums,pascalegre,Cool Shooting Experience,I bought this for my boyfriend's birthday as a gift. We had a great time. We felt a bit like in the movies... just missing the bad guys. Had a blast! Thanks Lock and Load!,50,December 2019
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",LuisCienfuegos,Freedom Tower,"An amazing place full of history, located in the heart of Miami city. You'll find there the real story of Cuban exile",50,July 2016
Havana Rooster,Monuments & Statues,LollysLook,Rooster Walk ,"Along Calle Ocho in Little Havana, you can find decorative Roosters. They were put on the street in 2002 as part of ""Rooster Walk"" project by artists in the Little Havana neighborhood. One of the them was the late Cuban sculptor Tony Lopez. ",40,November 2019
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",Alfredo B,An afternoon to remember at the Deering Estate,I very highly recommend a visit ti this espectacular property,50,June 2018
Hard Rock Stadium,Arenas & Stadiums,Lawtwle,Miami Open 2019,"Make sure you have easy walking shoes. Please do not bring a purse or backpack, it is not aloud.Only plastic  bags aloud, and available for free at the designated trailer outside on the parking lot. No costs.",40,March 2019
Hard Rock Stadium,Arenas & Stadiums,John R,Miami Open Was So Much Better in Key Biscayne,Overall a very dissapointing experience that left us longing for Key Biscayne.,10,March 2019
Hard Rock Stadium,Arenas & Stadiums,MaxwellWade,Miami Open 2018 vs 2019,"Organizers should consider if a four sided stadium could be temporarily be created on the grounds outside the stadium, but would have to forego the luxury seats offered this year.",40,March 2019
Hard Rock Stadium,Arenas & Stadiums,debbie78740,New venue for Miami Open Tennis tournament,We attended 3 days of the Miami Open at this facility & it was awesome. The venue was easy to get around & a very pleasant place to attend this great tournament.,50,March 2019
Hard Rock Stadium,Arenas & Stadiums,Brian D,Great.,I have no issue recommending a visit to the Hard Rock. Great place to see a game or show. Easy to get to and get out of. ,40,April 2019
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",midiala l,Back in Time,Enjoy your history.,50,April 2018
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",TravelingMomof4our,Beautiful history,Visiting Deering Estates is a great way to learn about history and enjoy a beautiful view. The property is located on the water. The water view is spectacular. It’s a great place for picnics and photos.,50,April 2018
Lock & Load Museum,Specialty Museums,338rufush,Really interesting and fun ,"Although it was expensive I highly recommended it to others, it’s a high end experience. Ask for Max, he’s a dude.  ",50,November 2019
Monkey Jungle,"Nature & Wildlife Areas, Zoos",bmazzocco,Fun and interesting,"2. At$30 per; it did seem a bit pricey, but it's very up close, although you can't touch any animals.",30,June 2018
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",tiamaxwell2,nice,this is a nice venue. if hosting a wedding there is no changing space and the restrooms are public. no professional photography inside main building. beautiful ocean view . ,40,April 2018
Hard Rock Stadium,Arenas & Stadiums,sunny2zmax,Fantastic venue@,From the guest services to the bathroom attendants ALL was clean and efficient! Thank you for GREAT EVENT!,50,March 2019
Hard Rock Stadium,Arenas & Stadiums,elsa9697,In one word: awful!,We wont return.,10,March 2019
Hard Rock Stadium,Arenas & Stadiums,GBfromNY,First time visit for Miami Open Tennis,"The Miami Open Tennis tournament moved here from Crandon Park in 2019. The initial visit was a bit disorienting but we acclimated very quickly and the new venue works out very well. There are many more food options, the courts are convenient and the seating comfortable. As always the staff is terrific and very helpful. It was a very good experience.",40,March 2019
Hard Rock Stadium,Arenas & Stadiums,Cherie S,MiAmi OPEN 2019,Very impressed,50,March 2019
Hard Rock Stadium,Arenas & Stadiums,Luisitorey,New venue for the tennis miami open,"Great stadium, with lots of things to do, eat and buy. Kind of poshy, but I guess tennis is a little bit upper class. Expensive, because once you are inside you have no other but to eat there. Great organization.",50,March 2019
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",Barbara M,History on the Bay,"The Deering Estate is a breathtaking setting on Biscayne Bay. A lovely stone mansion from the 1920's overlooks the bay, and the property includes a wooden building which was one of the first inns in Miami-Dade County.  The surrounding acreage has interesting natural features and Indian artifacts have been discovered on this site.  This property was the home of Charles Deering, of the international Harvester, and his brother James build Vizcaya, another spectacular bay home in Miami, which visitors will also want to see.",50,April 2018
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",expeditionkitty,PERFECT FOR PHOTOGRAPHY!,Tours of the area are also available. They charge a general entrance fee per person but it is worth it!,50,July 2017
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",lalocadr19,tranquil place!!,"Went here, this place is beautiful, such a tranquil place. If you go by the ocean can see the manatees all over the inlet. Beautiful place, inside the house the artifacts amazing to look it. If you want there a tour guide which gives lot of information.",40,June 2018
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",Aneta2012,Short visit but loaded with history,"Great place to visit to find out a little about the Cuban emigrants. If you have a relative or you are an emigrant yourself, you will relate to so many of the stories there. Quite emotional. Free entrance.",50,November 2016
Freedom Tower at Miami Dade College,"Historic Sites, Architectural Buildings",RNatha,Essential for Understanding Cuban-American Experience,"This art deco building has served several purposes during its almost century of existence, but it is known as the Freedom Tower because many Cubans passed through it when escaping Cuba in the early 1960s.  The exhibit in the building provides a great overview of the Cuban-American experience in Miami.  There are also art exhibits with no connection to the building's history.  Plus, the building is pretty from a strictly architectural point of view.",50,December 2016
Monkey Jungle,"Nature & Wildlife Areas, Zoos",Newyorkbros,Great time!!!,Had such a great time here with family and friends.  Price was very reasonable and got to interact with the monkeys!!!  will defiantly be coming back.,50,November 2017
Deering Estate,"Nature & Wildlife Areas, Specialty Museums, Historic Sites",lovinretirement2015,Beautiful Area,Beautiful grounds and interesting house. There are two different tours included in entrance fee. Be sure to ask about both. No food available to purchase so either bring food or eat before arriving if planning to go on both tours. House is sparsely furnished.,40,January 2018
